"","MonthYear","SumFedSenate","FedLaughterSenate","CPIAUCNS","PCEPI","INTDSRUSM193N","DFF","FEDFUNDS","GDPDEF","GDPC96","U6RATE","CPIAUCNSPercent","PCEPIPercent","GDPC96Percent"
"1",2001-01-01,0,0,175.1,91.092,6.0161,5.41,5.98,90.054,11287.752,7.3,3.59794403198172,2.5062574100909,2.25184784357418
"2",2001-02-01,1,10,175.8,91.224,5.5,5.57,5.49,90.054,11287.752,7.4,3.41296928327645,2.31627641848636,2.25184784357418
"3",2001-03-01,0,0,176.2,91.233,5.3065,5.59,5.31,90.054,11287.752,7.3,2.83768444948922,1.90062806221434,2.25184784357418
"4",2001-04-01,0,0,176.9,91.401,4.7833,5.29,4.8,90.666,11361.734,7.4,3.16563029960429,2.18706578702639,0.993967998194648
"5",2001-05-01,0,0,177.7,91.65,4.2258,4.61,4.21,90.666,11361.734,7.5,3.48902644907146,2.39388979814512,0.993967998194648
"6",2001-06-01,2,22.5,178,91.804,3.9667,4.14,3.97,90.666,11361.734,7.9,3.14606741573033,2.24826804932248,0.993967998194648
"7",2001-07-01,0,0,177.5,91.748,3.75,3.95,3.77,90.952,11330.38,7.8,2.64788732394366,1.96952522125823,0.636562939636623
"8",2001-08-01,0,0,177.5,91.728,3.6613,3.79,3.65,90.952,11330.38,8.1,2.64788732394366,1.97758590615733,0.636562939636623
"9",2001-09-01,1,10,178.3,91.427,3.2667,3.66,3.07,90.952,11330.38,8.7,2.5799214806506,1.23267743664345,0.636562939636623
"10",2001-10-01,0,0,177.7,91.753,2.5161,3.02,2.49,91.232,11370.028,9.3,2.08216094541361,1.44845400150403,0.396340272864766
"11",2001-11-01,0,0,177.4,91.69,2.0833,2.61,2.09,91.232,11370.028,9.4,1.86020293122887,1.2433198822118,0.396340272864766
"12",2001-12-01,0,0,176.7,91.61,1.8306,2.06,1.82,91.232,11370.028,9.6,1.52801358234295,1.02172251937561,0.396340272864766
