"","Organisation","Indv","StartDate","EndDate","FedStart","FedEnd","Year","YearsExp"
"110","Accion Chicago Inc","Thomas P FitzGibbon Jr",2003,2006,2004,2013,2004,1
"111","Accion Chicago Inc","Thomas P FitzGibbon Jr",2003,2006,2004,2013,2005,2
"112","Accion Chicago Inc","Thomas P FitzGibbon Jr",2003,2006,2004,2013,2006,3
"113","Accion Chicago Inc","Thomas P FitzGibbon Jr",2003,2006,2004,2013,2007,3
"114","Accion Chicago Inc","Thomas P FitzGibbon Jr",2003,2006,2004,2013,2008,3
"115","Accion Chicago Inc","Thomas P FitzGibbon Jr",2003,2006,2004,2013,2009,3
"116","Accion Chicago Inc","Thomas P FitzGibbon Jr",2003,2006,2004,2013,2010,3
"117","Accion Chicago Inc","Thomas P FitzGibbon Jr",2003,2006,2004,2013,2011,3
"118","Accion Chicago Inc","Thomas P FitzGibbon Jr",2003,2006,2004,2013,2012,3
"119","Accion Chicago Inc","Thomas P FitzGibbon Jr",2003,2006,2004,2013,2013,3
"127","Accion Chicago Inc","Thomas P FitzGibbon Jr",2006,2013,2004,2013,2004,0
"128","Accion Chicago Inc","Thomas P FitzGibbon Jr",2006,2013,2004,2013,2005,0
"129","Accion Chicago Inc","Thomas P FitzGibbon Jr",2006,2013,2004,2013,2006,0
"130","Accion Chicago Inc","Thomas P FitzGibbon Jr",2006,2013,2004,2013,2007,1
"131","Accion Chicago Inc","Thomas P FitzGibbon Jr",2006,2013,2004,2013,2008,2
"132","Accion Chicago Inc","Thomas P FitzGibbon Jr",2006,2013,2004,2013,2009,3
"133","Accion Chicago Inc","Thomas P FitzGibbon Jr",2006,2013,2004,2013,2010,4
"134","Accion Chicago Inc","Thomas P FitzGibbon Jr",2006,2013,2004,2013,2011,5
"135","Accion Chicago Inc","Thomas P FitzGibbon Jr",2006,2013,2004,2013,2012,6
"136","Accion Chicago Inc","Thomas P FitzGibbon Jr",2006,2013,2004,2013,2013,7
"171","Actelion Pharmaceuticals US Inc","Robert L McKague",2013,2013,1996,1997,1997,0
"287","ADTRAN INC","Richard (Dick) A Anderson",2002,2006,2011,2012,2011,4
"288","ADTRAN INC","Richard (Dick) A Anderson",2002,2006,2011,2012,2012,4
"316","Advantage Testing Foundation","Doctor John Edward Sexton",2013,2013,2006,2006,2006,0
"363","Aerospace Corp","Rufus A Fulton Jr",2006,2013,2002,2005,2002,0
"364","Aerospace Corp","Rufus A Fulton Jr",2006,2013,2002,2005,2003,0
"365","Aerospace Corp","Rufus A Fulton Jr",2006,2013,2002,2005,2004,0
"366","Aerospace Corp","Rufus A Fulton Jr",2006,2013,2002,2005,2005,0
