"","Year","Organisation","Connect"
"51",1997,"American Bankers Association","HCFS Ranking"
"40",1997,"Economic Club of New York","Federal Reserve"
"41",1997,"Federal Reserve Bank of Chicago","Federal Reserve"
"43",1997,"New York University","Federal Reserve"
"44",1997,"Stanford University","Federal Reserve"
"45",1998,"Federal Reserve Bank of Chicago","Federal Reserve"
"47",1998,"Federal Reserve Bank of Kansas","Federal Reserve"
"49",1998,"Federal Reserve Bank of New York","Federal Reserve"
"50",1998,"Georgetown Universityniversity","Federal Reserve"
"511",1998,"National Association for Business Economics","Federal Reserve"
"52",1998,"New York University","Federal Reserve"
"53",1998,"University of California, Berkeley","Federal Reserve"
"178",1999,"American Bankers Association","HCFS Ranking"
"54",1999,"American Bankers Association","Federal Reserve"
"55",1999,"Federal Reserve Bank of Chicago","Federal Reserve"
"56",1999,"Federal Reserve Bank of Kansas","Federal Reserve"
"57",1999,"Georgetown Universityniversity","Federal Reserve"
"58",1999,"Harvard University","Federal Reserve"
"59",1999,"National Association for Business Economics","Federal Reserve"
"60",1999,"New York University","Federal Reserve"
"61",1999,"University of Michigan","Federal Reserve"
"62",1999,"World Bank","Federal Reserve"
"236",2000,"American Bankers Association","HCFS Ranking"
"63",2000,"American Bankers Association","Federal Reserve"
"64",2000,"Federal Reserve Bank of Chicago","Federal Reserve"
"67",2000,"Federal Reserve Bank of Cleveland","Federal Reserve"
"68",2000,"Federal Reserve Bank of Kansas","Federal Reserve"
"281",2001,"American Bankers Association","HCFS Chair"
"70",2001,"American Bankers Association","Federal Reserve"
"301",2001,"American Institute of Certified Public Accountants","HCFS Chair"
"296",2001,"Bond Market Association","HCFS Chair"
"72",2001,"Federal Reserve Bank of Chicago","Federal Reserve"
"75",2001,"Federal Reserve Bank of Kansas","Federal Reserve"
"77",2001,"Federal Reserve Bank of New York","Federal Reserve"
"78",2001,"Federal Reserve Bank of St Louis","Federal Reserve"
"259",2001,"Independent Community Bankers of America","HCFS Chair"
"79",2001,"National Association for Business Economics","Federal Reserve"
"81",2001,"Swarthmore College","Federal Reserve"
"271",2001,"the Bond Market Association","HCFS Chair"
"327",2002,"America's Community Bankers","HCFS Chair"
"358",2002,"American Bankers Association","HCFS Chair"
"82",2002,"American Bankers Association","Federal Reserve"
"83",2002,"American Enterprise Institute","Federal Reserve"
"369",2002,"American Institute of Certified Public Accountants","HCFS Chair"
"360",2002,"Bond Market Association ","HCFS Chair"
"84",2002,"European Central Bank","Federal Reserve"
"85",2002,"Federal Reserve Bank of Chicago","Federal Reserve"
"87",2002,"Federal Reserve Bank of Cleveland","Federal Reserve"
"88",2002,"Federal Reserve Bank of Kansas","Federal Reserve"
"89",2002,"Federal Reserve Bank of New York","Federal Reserve"
"90",2002,"Federal Reserve Bank of San Francisco","Federal Reserve"
"91",2002,"Federal Reserve Bank of St Louis","Federal Reserve"
"92",2002,"Harvard University","Federal Reserve"
"93",2002,"New York University","Federal Reserve"
"380",2002,"SIFMA","HCFS Chair"
"328",2002,"the Independent Community Bankers of America","HCFS Chair"
"94",2002,"University of Chicago","Federal Reserve"
"95",2002,"World Bank","Federal Reserve"
"96",2003,"American Bankers Association","Federal Reserve"
"97",2003,"Federal Reserve Bank of Boston","Federal Reserve"
"99",2003,"Federal Reserve Bank of Chicago","Federal Reserve"
"103",2003,"Federal Reserve Bank of Cleveland","Federal Reserve"
"104",2003,"Federal Reserve Bank of Kansas","Federal Reserve"
"105",2003,"Federal Reserve Bank of Philadelphia","Federal Reserve"
"106",2003,"Federal Reserve Bank of San Francisco","Federal Reserve"
"107",2003,"Federal Reserve Bank of St Louis","Federal Reserve"
