"","MonthYear","MembPresMedian","LaughMedian","MembPresMean","LaughMean","TestCountMonth","MembPresMedianNoF","LaughMedianNoF","MembPresMeanNoF","LaughMeanNoF","TestCountMonthNoF","CPIAUCNS","DFF","FEDFUNDS","GDPDEF","GDPC96","U6RATE"
"1",1997-01-01,0,0,0,0,0,0,0,0,0,0,159.1,6.26,5.25,84.251,9657.987,9.4
"2",1997-02-01,0,0,0,0,0,0,0,0,0,0,159.6,5.37,5.19,84.251,9657.987,9.4
"3",1997-03-01,22,2,22,2,2,22,2,22,2,2,160,5.5,5.39,84.251,9657.987,9.1
"4",1997-04-01,0,0,0,0,0,0,0,0,0,0,160.2,6.18,5.51,84.447,9801.18,9.2
"5",1997-05-01,28,0,23,0,5,28,0,23,0,5,160.1,5.73,5.5,84.447,9801.18,8.8
"6",1997-06-01,28,2,28,2,2,28,2,28,2,2,160.3,5.58,5.56,84.447,9801.18,8.8
"7",1997-07-01,22,5,19,3.66666666666667,3,22,5,19,3.66666666666667,3,160.5,6.24,5.52,84.742,9924.196,8.6
"8",1997-08-01,0,0,0,0,0,0,0,0,0,0,160.8,5.65,5.54,84.742,9924.196,8.6
"9",1997-09-01,24.5,0,24.5,0,2,24.5,0,24.5,0,2,161.2,5.52,5.54,84.742,9924.196,8.7
"10",1997-10-01,0,0,0,0,0,0,0,0,0,0,161.6,5.65,5.5,85.055,10000.332,8.4
"11",1997-11-01,28,0,28,0,1,28,0,28,0,1,161.5,5.56,5.52,85.055,10000.332,8.3
"12",1997-12-01,0,0,0,0,0,0,0,0,0,0,161.3,5.92,5.5,85.055,10000.332,8.4
"13",1998-01-01,22,0,22,0,1,22,0,22,0,1,161.6,5.84,5.56,85.198,10094.801,8.4
"14",1998-02-01,19,3.5,17.25,3.5,4,19,3.5,17.25,3.5,4,161.9,5.48,5.51,85.198,10094.801,8.4
"15",1998-03-01,26,8.5,26,8.5,2,26,8.5,26,8.5,2,162.2,5.57,5.49,85.198,10094.801,8.4
"16",1998-04-01,28.5,0,28.5,0,2,28.5,0,28.5,0,2,162.5,5.72,5.45,85.402,10185.576,7.9
"17",1998-05-01,0,0,0,0,0,0,0,0,0,0,162.8,5.46,5.49,85.402,10185.576,7.9
"18",1998-06-01,25,0,21.3333333333333,1,3,25,0,21.3333333333333,1,3,163,5.79,5.56,85.402,10185.576,8
"19",1998-07-01,17.5,0,17.25,0,4,17.5,0,17.25,0,4,163.2,6.35,5.54,85.729,10319.973,8.1
"20",1998-08-01,0,0,0,0,0,0,0,0,0,0,163.4,5.63,5.55,85.729,10319.973,7.9
"21",1998-09-01,6,0,7.33333333333333,0,3,6,0,7.33333333333333,0,3,163.6,5.75,5.51,85.729,10319.973,7.9
"22",1998-10-01,15,0,15,0,1,15,0,15,0,1,164,5.73,5.07,85.988,10498.614,7.8
"23",1998-11-01,11,2,11,2,1,11,2,11,2,1,164,5.35,4.83,85.988,10498.614,7.6
"24",1998-12-01,0,0,0,0,0,0,0,0,0,0,163.9,4.82,4.68,85.988,10498.614,7.6
"25",1999-01-01,0,0,0,0,0,0,0,0,0,0,164.3,4.07,4.63,86.371,10592.145,7.7
"26",1999-02-01,34.5,0,33.5,5.75,4,34.5,0,33.5,5.75,4,164.5,4.86,4.76,86.371,10592.145,7.7
"27",1999-03-01,0,0,0,0,0,0,0,0,0,0,165,5.1,4.81,86.371,10592.145,7.6
"28",1999-04-01,18,1,18,1,2,18,1,18,1,2,166.2,5.41,4.74,86.675,10674.942,7.6
"29",1999-05-01,26.5,0,23.75,1.25,4,26.5,0,23.75,1.25,4,166.2,5.03,4.74,86.675,10674.942,7.4
"30",1999-06-01,22.5,0,22.5,0,2,22.5,0,22.5,0,2,166.2,4.78,4.76,86.675,10674.942,7.5
"31",1999-07-01,27.5,0,27.5,0,2,27.5,0,27.5,0,2,166.7,5.76,4.99,86.998,10810.68,7.5
"32",1999-08-01,0,0,0,0,0,0,0,0,0,0,167.1,5.07,5.07,86.998,10810.68,7.3
"33",1999-09-01,25,0,25.3333333333333,0,3,25,0,25.3333333333333,0,3,167.9,5.41,5.22,86.998,10810.68,7.4
"34",1999-10-01,0,0,0,0,0,0,0,0,0,0,168.2,5.26,5.2,87.305,11004.834,7.2
"35",1999-11-01,0,0,0,0,0,0,0,0,0,0,168.3,5.38,5.42,87.305,11004.834,7.1
"36",1999-12-01,0,0,0,0,0,0,0,0,0,0,168.3,5.71,5.3,87.305,11004.834,7.1
"37",2000-01-01,0,0,0,0,0,0,0,0,0,0,168.8,3.99,5.45,88,11033.569,7.1
"38",2000-02-01,17,0,17,0,4,17,0,17,0,4,169.8,5.79,5.73,88,11033.569,7.2
"39",2000-03-01,17,3,20.6666666666667,4,3,17,3,20.6666666666667,4,3,171.2,5.78,5.85,88,11033.569,7.1
"40",2000-04-01,14,0,14,0,1,14,0,14,0,1,171.3,6.17,6.02,88.446,11248.802,6.9
"41",2000-05-01,21,3,21.6666666666667,2.33333333333333,3,21,3,21.6666666666667,2.33333333333333,3,171.5,6.17,6.27,88.446,11248.802,7.1
"42",2000-06-01,18,0,18.6666666666667,0,3,18,0,18.6666666666667,0,3,172.4,6.65,6.53,88.446,11248.802,7
"43",2000-07-01,29,0,29,0,2,29,0,29,0,2,172.8,6.86,6.54,88.979,11258.255,7
"44",2000-08-01,0,0,0,0,0,0,0,0,0,0,172.8,6.51,6.5,88.979,11258.255,7.1
"45",2000-09-01,14,1,14,1,1,14,1,14,1,1,173.7,6.52,6.52,88.979,11258.255,7
"46",2000-10-01,18,0,18,0,1,18,0,18,0,1,174,6.6,6.51,89.447,11324.964,6.8
"47",2000-11-01,0,0,0,0,0,0,0,0,0,0,174.1,6.61,6.51,89.447,11324.964,7.1
"48",2000-12-01,0,0,0,0,0,0,0,0,0,0,174,6.6,6.4,89.447,11324.964,6.9
"49",2001-01-01,0,0,0,0,0,0,0,0,0,0,175.1,5.41,5.98,90.054,11287.752,7.3
"50",2001-02-01,60,0,60,0,1,60,0,60,0,1,175.8,5.57,5.49,90.054,11287.752,7.4
"51",2001-03-01,0,0,0,0,0,0,0,0,0,0,176.2,5.59,5.31,90.054,11287.752,7.3
"52",2001-04-01,0,0,0,0,0,0,0,0,0,0,176.9,5.29,4.8,90.666,11361.734,7.4
"53",2001-05-01,38,0,38,0,1,38,0,38,0,1,177.7,4.61,4.21,90.666,11361.734,7.5
"54",2001-06-01,26,1,26,1,1,26,1,26,1,1,178,4.14,3.97,90.666,11361.734,7.9
"55",2001-07-01,44,0,44,0,1,44,0,44,0,1,177.5,3.95,3.77,90.952,11330.38,7.8
"56",2001-08-01,0,0,0,0,0,0,0,0,0,0,177.5,3.79,3.65,90.952,11330.38,8.1
"57",2001-09-01,32,0,32,0,1,32,0,32,0,1,178.3,3.66,3.07,90.952,11330.38,8.7
"58",2001-10-01,52,1,52,1,1,52,1,52,1,1,177.7,3.02,2.49,91.232,11370.028,9.3
"59",2001-11-01,0,0,0,0,0,0,0,0,0,0,177.4,2.61,2.09,91.232,11370.028,9.4
"60",2001-12-01,0,0,0,0,0,0,0,0,0,0,176.7,2.06,1.82,91.232,11370.028,9.6
"61",2002-01-01,0,0,0,0,0,0,0,0,0,0,177.1,1.52,1.73,91.555,11467.137,9.5
"62",2002-02-01,32,4,32,4,2,32,4,32,4,2,177.8,1.77,1.74,91.555,11467.137,9.5
"63",2002-03-01,35,2,35,2,1,35,2,35,2,1,178.8,1.78,1.73,91.555,11467.137,9.4
"64",2002-04-01,0,0,0,0,0,0,0,0,0,0,179.8,1.88,1.75,91.965,11528.137,9.7
"65",2002-05-01,23,4,23,4,1,23,4,23,4,1,179.8,1.88,1.75,91.965,11528.137,9.5
"66",2002-06-01,0,0,0,0,0,0,0,0,0,0,179.9,1.79,1.75,91.965,11528.137,9.5
"67",2002-07-01,51,0,51,0,2,51,0,51,0,2,180.1,1.83,1.73,92.363,11586.608,9.6
"68",2002-08-01,0,0,0,0,0,0,0,0,0,0,180.7,1.79,1.74,92.363,11586.608,9.6
"69",2002-09-01,25,0,25,0,1,25,0,25,0,1,181,1.81,1.75,92.363,11586.608,9.6
"70",2002-10-01,30,2,30,2,1,30,2,30,2,1,181.3,1.85,1.75,92.894,11590.578,9.6
"71",2002-11-01,0,0,0,0,0,0,0,0,0,0,181.3,1.74,1.34,92.894,11590.578,9.7
"72",2002-12-01,0,0,0,0,0,0,0,0,0,0,180.9,1.23,1.24,92.894,11590.578,9.8
"73",2003-01-01,0,0,0,0,0,0,0,0,0,0,181.7,1.16,1.24,93.543,11638.917,10
"74",2003-02-01,53,0,53,0,1,53,0,53,0,1,183.1,1.33,1.26,93.543,11638.917,10.2
"75",2003-03-01,33,0.5,33,0.5,2,33,0.5,33,0.5,2,184.2,1.33,1.25,93.543,11638.917,10
"76",2003-04-01,45,0,45,0,1,45,0,45,0,1,183.8,1.29,1.26,93.815,11737.522,10.2
"77",2003-05-01,26,0,26,0,1,26,0,26,0,1,183.5,1.3,1.26,93.815,11737.522,10.1
"78",2003-06-01,0,0,0,0,0,0,0,0,0,0,183.7,1.28,1.22,93.815,11737.522,10.3
"79",2003-07-01,50,5,50,5,2,50,5,50,5,2,183.9,1.11,1.01,94.337,11930.678,10.3
"80",2003-08-01,0,0,0,0,0,0,0,0,0,0,184.6,1,1.03,94.337,11930.678,10.1
"81",2003-09-01,46,2,45.6666666666667,1.33333333333333,3,46,2,45.6666666666667,1.33333333333333,3,185.2,1.01,1.01,94.337,11930.678,10.4
"82",2003-10-01,32,2,32,2,1,32,2,32,2,1,185,1.11,1.01,94.818,12038.591,10.2
"83",2003-11-01,0,0,0,0,0,0,0,0,0,0,184.5,1.03,1,94.818,12038.591,10
"84",2003-12-01,0,0,0,0,0,0,0,0,0,0,184.3,1.03,0.98,94.818,12038.591,9.8
"85",2004-01-01,0,0,0,0,0,0,0,0,0,0,185.2,0.94,1,95.643,12117.924,9.9
"86",2004-02-01,52,0,52,0,1,52,0,52,0,1,186.2,1.03,1.01,95.643,12117.924,9.7
"87",2004-03-01,32,0,32,0,1,32,0,32,0,1,187.4,1.04,1,95.643,12117.924,10
"88",2004-04-01,32,2,32,2,1,32,2,32,2,1,188,1.03,1,96.45,12195.893,9.6
"89",2004-05-01,25.5,1.5,25.5,1.5,2,25.5,1.5,25.5,1.5,2,189.1,1.03,1,96.45,12195.893,9.6
"90",2004-06-01,0,0,0,0,0,0,0,0,0,0,189.7,1.02,1.03,96.45,12195.893,9.5
"91",2004-07-01,26,0,25.3333333333333,3,3,26,0,25.3333333333333,3,3,189.4,1.4,1.26,97.149,12286.667,9.5
"92",2004-08-01,34,0,34,0,1,34,0,34,0,1,189.5,1.29,1.43,97.149,12286.667,9.4
"93",2004-09-01,25,3.5,25,3.5,2,25,3.5,25,3.5,2,189.9,1.53,1.61,97.149,12286.667,9.4
"94",2004-10-01,0,0,0,0,0,0,0,0,0,0,190.9,1.86,1.76,97.874,12387.233,9.7
"95",2004-11-01,0,0,0,0,0,0,0,0,0,0,191,1.83,1.93,97.874,12387.233,9.4
"96",2004-12-01,0,0,0,0,0,0,0,0,0,0,190.3,2.04,2.16,97.874,12387.233,9.2
"97",2005-01-01,0,0,0,0,0,0,0,0,0,0,190.7,1.97,2.28,98.776,12514.999,9.3
"98",2005-02-01,63,3,63,3,1,63,3,63,3,1,191.8,2.4,2.5,98.776,12514.999,9.3
"99",2005-03-01,40,0,40,0,1,40,0,40,0,1,193.3,2.39,2.63,98.776,12514.999,9.1
"100",2005-04-01,38,0,36,1.6,5,38,0,36,1.6,5,194.6,2.83,2.79,99.437,12570.71,8.9
"101",2005-05-01,31,4,31,4,2,31,4,31,4,2,194.4,2.97,3,99.437,12570.71,8.9
"102",2005-06-01,48,0,48,0,1,48,0,48,0,1,194.5,3.02,3.04,99.437,12570.71,9
"103",2005-07-01,37,3,31.3333333333333,3,3,37,3,31.3333333333333,3,3,195.4,3.36,3.26,100.458,12670.529,8.8
"104",2005-08-01,0,0,0,0,0,0,0,0,0,0,196.4,3.3,3.5,100.458,12670.529,8.9
"105",2005-09-01,0,0,0,0,0,0,0,0,0,0,198.8,3.57,3.62,100.458,12670.529,9
