month_year,full_date,month,day,year,name,position_cat,any_speech,bankersfinance,other_private,otherregulators,io,community_organisations,thinktank,press_association,prof_econ_assoc,university,hearing,trade_assoc,non_finance_gov,nonbuinessadvocacy,social_events,economic_literacy,other,org
1-Jun-96,13-Jun-96,June,13,1996,Alan Greenspan,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1-Jun-96,18-Jun-96,June,18,1996,Edward W. Kelley,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1-Sep-96,8-Sep-96,September,8,1996,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
1-Sep-96,19-Sep-96,September,19,1996,Alan Greenspan,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1-Oct-96,2-Oct-96,October,2,1996,Lawrence B. Lindsey,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1-Oct-96,5-Oct-96,October,5,1996,Alan Greenspan,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1-Oct-96,7-Oct-96,October,7,1996,Alan Greenspan,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1-Oct-96,9-Oct-96,October,9,1996,Lawrence B. Lindsey,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
1-Oct-96,11-Oct-96,October,11,1996,Lawrence B. Lindsey,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
1-Oct-96,16-Oct-96,October,16,1996,Alan Greenspan,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1-Oct-96,24-Oct-96,October,24,1996,Susan M. Phillips,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
1-Oct-96,31-Oct-96,October,31,1996,Edward W. Kelley,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1-Nov-96,18-Nov-96,November,18,1996,Alan Greenspan,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1-Nov-96,21-Nov-96,November,21,1996,Laurence H. Meyer,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1-Nov-96,25-Nov-96,November,25,1996,Susan M. Phillips,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1-Dec-96,3-Dec-96,December,3,1996,Edward W. Kelley,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1-Dec-96,5-Dec-96,December,5,1996,Alan Greenspan,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
1-Dec-96,6-Dec-96,December,6,1996,Alan Greenspan,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14
1-Dec-96,19-Dec-96,December,19,1996,Alice M. Rivlin,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
1-Jan-97,5-Jan-97,January,5,1997,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
1-Jan-97,14-Jan-97,January,14,1997,Alan Greenspan,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
1-Jan-97,16-Jan-97,January,16,1997,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
1-Jan-97,24-Jan-97,January,24,1997,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
1-Jan-97,28-Jan-97,January,28,1997,Susan M. Phillips,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1-Jan-97,29-Jan-97,January,29,1997,Edward W. Kelley,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1-Feb-97,14-Feb-97,February,14,1997,Susan M. Phillips,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1-Feb-97,21-Feb-97,February,21,1997,Alan Greenspan,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1-Mar-97,3-Mar-97,March,3,1997,Susan M. Phillips,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
