full_date,speech_name,raw_spoke_to,vars.link,spoke_to,org_exist,place_1,place_2,name,position_cat,any_speech,bankersfinance,other_private,otherregulators,io,community_organisations,thinktank,press_association,prof_econ_assoc,university,hearing,trade_assoc,non_finance_gov,nonbuinessadvocacy,social_events,economic_literacy,other,org
13-Jun-96,Bank supervision in a world economy,"At the International Conference of Banking Supervisors, Stockholm, Sweden",http://www.federalreserve.gov/boarddocs/speeches/1996/19960613.htm,International Conference of Banking Supervisors,, Stockholm, Sweden,Alan Greenspan,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
18-Jun-96,Developments in electronic money and banking,"At the CyberPayments '96 Conference, Dallas, Texas",http://www.federalreserve.gov/boarddocs/speeches/1996/19960618.htm,CyberPayments '96 Conference,, Dallas, Texas,Edward W. Kelley,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
08-Sep-96,Monetary policy objectives and strategy,"At the National Association of Business Economists 38th Annual Meeting, Boston, Massachusetts",http://www.federalreserve.gov/boarddocs/speeches/1996/19960908.htm,National Association of Business Economists 38th Annual Meeting,, Boston, Massachusetts,Laurence H. Meyer,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
19-Sep-96,Regulation and electronic payment systems,"At the U.S. Treasury Conference on Electronic Money & Banking: The Role of Government, Washington, D.C.",http://www.federalreserve.gov/boarddocs/speeches/1996/19960919.htm,U.S. Treasury Conference on Electronic Money & Banking: The Role of Government,, Washington, D.C.,Alan Greenspan,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
02-Oct-96,Small business is big business,"At the Small Business Development Conference, Richmond, Virginia",http://www.federalreserve.gov/boarddocs/speeches/1996/19961002.htm,Small Business Development Conference,, Richmond, Virginia,Lawrence B. Lindsey,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
05-Oct-96,"Bank supervision, regulation, and risk","At the Annual Convention of the American Bankers Association, Honolulu, Hawaii",http://www.federalreserve.gov/boarddocs/speeches/1996/19961005.htm,Annual Convention of the American Bankers Association,, Honolulu, Hawaii,Alan Greenspan,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
07-Oct-96,U.S. Treasury securities market: Lessons from Alexander Hamilton,"At the Annual Public Service Awards Dinner of the Public Securities Association, New York, New York",http://www.federalreserve.gov/boarddocs/speeches/1996/19961007.htm,Annual Public Service Awards Dinner of the Public Securities Association,, New York, New York,Alan Greenspan,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
09-Oct-96,Here we go again?,"At the Community Development Lending Conference, Dallas, Texas",http://www.federalreserve.gov/boarddocs/speeches/1996/19961009.htm,Community Development Lending Conference,, Dallas, Texas,Lawrence B. Lindsey,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
11-Oct-96,How to grow faster,"At the Atlantic Economic Society, Washington, D.C.",http://www.federalreserve.gov/boarddocs/speeches/1996/19961011.htm,Atlantic Economic Society,, Washington, D.C.,Lawrence B. Lindsey,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
16-Oct-96,Technological advances and productivity,"At the 80th Anniversary Awards Dinner of The Conference Board, New York, New York",http://www.federalreserve.gov/boarddocs/speeches/1996/19961016.htm,80th Anniversary Awards Dinner of The Conference Board,, New York, New York,Alan Greenspan,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
24-Oct-96,Accounting and auditing standards and bank supervision,"At the 23rd Annual Accounting Lecture Series of the University of Tennessee, Chattanooga, Tennessee",http://www.federalreserve.gov/boarddocs/speeches/1996/19961024.htm,23rd Annual Accounting Lecture Series of the University of Tennessee,, Chattanooga, Tennessee,Susan M. Phillips,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
