To,From,
American Capital Agency Corp,American Capital Agency Corp \\(Listed 05/2008\\),
American Capital Agency Corp,AMERICAN CAPITAL AGENCY CORP,
American Capital Mortgage Investment Corp,AMERICAN CAPITAL MORTGAGE INVESTMENT CORP,
American Capital Mortgage Investment Corp,American Capital Mortgage Investment Corp \\(Listed 08/2011\\),
BANK OF MONTREAL (BMO),BMO Financial Group,
BANK OF MONTREAL (BMO),BMO Nesbitt Burns Inc,
BANK OF MONTREAL (BMO),BMO Bankcorp Inc \\(Formerly known as Harris Bankcorp Inc\\),
BANK OF MONTREAL (BMO),BMO Nesbitt Burns Corp Ltd,
BANK OF MONTREAL (BMO),BMO Harris Bank NA \\(Harris NA prior to 07/2011\\),
BANK OF MONTREAL (BMO),BMO Capital Markets Corp,
Chase Manhattan Bank Ltd,Chase Manhattan Community Development Group,
Chase Manhattan Bank Ltd,CHASE MANHATTAN CORP \\(De-listed 12/2000\\),
Deutsche Bank,DEUTSCHE BANK AG,
Deutsche Bank,DEUTSCHE BANK CAPITAL FUNDING TRUST,
Deutsche Bank,"Deutsche Bank Trust Company Americas \\(Bankers Trust Co, New York prior to 04/2002\\)",
Dominion Virginia Power Corp,DOMINION RESOURCES INC \\(VIRGINIA\\),
EQUIFAX INC,Equifax Information Services LLC,
First Tennessee Bank NA,First Tennessee National Corp,
First Tennessee Bank NA,FIRST HORIZON NATIONAL CORP (First Tennessee National prior to 04/2004),
Fulton Bank NA,FULTON FINANCIAL CORP,
Harvard University,Harvard Business School,
Harvard University,Harvard College,
Harvard University,Harvard Law School,
KEYCORP,KeyBank National Association,
LINCOLN ELECTRIC HLDGS INC,Lincoln Electric Co,
MB Financial Bank NA,MB FINANCIAL INC,
Morgan Stanley,MORGAN STANLEY \\(Morgan Stanley Dean Witter & Co prior to 07/2002\\),
Morgan Stanley,MORGAN STANLEY GROUP INC \\(De-listed 05/1997\\),
New York University (NYU),"Leonard N Stern School of Business, New York University",
New York University (NYU),New York University School of Law,
Oxford University,"Nuffield College, Oxford University",
Princeton University,"Princeton Environmental Institute \\(PEI\\), Princeton University",
Society National Bank,Society Corp,
Stanford University,"Stanford University, Graduate School of Business",
Swiss Re,Swiss Re America Holding Corp,
Swiss Re,SWISS REINSURANCE CO \\(De-list 12/2011\\),
TD Bank NA,TORONTO-DOMINION BANK,
TD Bank NA,TD BANKNORTH INC \\(De-listed 04/2007\\),
TD Bank NA,TD BANKNORTH INC \\(De-listed 04/2007\\),
TD Bank NA,TD Waterhouse Investor Services Inc,
Tufts University,"Fletcher School of Law and Diplomacy, Tufts University",
"University of California, Berkeley","Haas School of Business, University of California, Berkeley",
University of Michigan,University of Michigan Law School,
Wachovia,WACHOVIA CORP (De-listed 12/2008),
Wachovia,WACHOVIA PREFERRED FUNDING CORP,
University of Wisconsin School of Business,University of Wisconsin-Madison School of Business,
Zurich Insurance Co,Zurich Holding Company of America Inc,
Zurich Insurance Co,ZURICH INSURANCE GROUP AG \\(Zurich Financial Services Ltd prior to 04/2012\\)\\(Zurich Financial Services Group prior to 04/2009\\),
