NonFedFinanceCom,Date,HearingNumber,TranscriptHyperlink,legislature,committefull,CleanFullCommitteeName1,CleanFullCommitteeName2,SubCommittee,attendance,FedLetterCorrespondence,laughter,SemiAnnualOversight,Field,speechtitle,name,position_cat1,position_cat2,TestimonyHyperlink,SecondTestimony,duplicatespeech
0,29-Jun-2012,"112-142
",http://www.gpo.gov/fdsys/pkg/CHRG-112hhrg76113/html/CHRG-112hhrg76113.htm,House,"Committee on Financial Services, Washington, D.C.",Committee on Financial Services,Subcommittee on Financial Institutions and Consumer Credit,1,"Representatives Capito, Renacci, Pearce, 
Luetkemeyer, Huizenga, Canseco; Maloney, Baca, and Scott.
    Also present: Representative Green.",0,0,NA,NA,Mobile payments,Stephanie Martin,Associate General Counsel,,http://www.federalreserve.gov/newsevents/testimony/martin20120628a.htm,NA,
0,21-Jun-2000,S. Hrg. 106-922,http://www.gpo.gov/fdsys/pkg/CHRG-106shrg70514/html/CHRG-106shrg70514.htm,Senate,"Agriculture, Nutrition, and Forestry and the Committee on Banking, Housing, and Urban Affairs, U.S. Senate","Committee on Agriculture, Nutrition and Forestry and Committee on Banking, Housing, and Urban Affairs",,0,"Present or submitting a statement: Senators Lugar, Gramm, 
Bennett, Fitzgerald, Santorum, Grams, Harkin, Sarbanes, Dodd, 
Kerrey, Conrad, Johnson, and Schumer.",NA,NA,NA,NA,"S. 2697, the Commodity Futures Modernization Act of 2000",Alan Greenspan,Chairman,,http://www.federalreserve.gov/boarddocs/testimony/2000/20000621.htm,NA,
0,30-Jul-1998,,NA,Senate,"Agriculture, Nutrition, and Forestry, U.S. Senate","Committee on Agriculture, Nutrition and Forestry ",,0,NA,NA,NA,NA,NA,The Commodity Exchange Act and OTC derivatives,Alan Greenspan,Chairman,,http://www.federalreserve.gov/boarddocs/testimony/1998/19980730.htm,NA,
0,16-Dec-1998,,NA,Senate,"Agriculture, Nutrition, and Forestry, U.S. Senate","Committee on Agriculture, Nutrition and Forestry ",,0,NA,NA,NA,NA,NA,Progress report by the President's Working Group on Financial Markets,Patrick M. Parkinson,Associate Director,Division of Research and Statistics,http://www.federalreserve.gov/boarddocs/testimony/1998/19981216.htm,NA,
0,10-Feb-2000,S. Hrg. 106-768,http://www.gpo.gov/fdsys/pkg/CHRG-106shrg67569/html/CHRG-106shrg67569.htm,Senate,"Agriculture, Nutrition, and Forestry, U.S. Senate","Committee on Agriculture, Nutrition and Forestry ",,0," Present or submitting a statement: Senators Lugar, 
Fitzgerald, Grassley, Harkin, and Conrad.",NA,4,NA,NA,Over-the-counter derivatives,Alan Greenspan,Chairman,,http://www.federalreserve.gov/boarddocs/testimony/2000/20000210.htm,NA,
0,15-Jun-2011,S. Hrg. 112-280,http://www.gpo.gov/fdsys/pkg/CHRG-112shrg71629/html/CHRG-112shrg71629.htm,Senate,"Agriculture, Nutrition, and Forestry, U.S. Senate","Committee on Agriculture, Nutrition and Forestry ",,0,"Senators Stabenow, Klobuchar, Gillibrand, Roberts, 
Lugar, Chambliss, Johanns, Boozman, and Thune.",NA,5,NA,NA,Implementation of Title VII of the Dodd-Frank Act,Michael S. Gibson,Senior Associate Director,Division of Research and Statistics,http://www.federalreserve.gov/newsevents/testimony/gibson20110615a.htm,NA,
0,21-May-1998,,NA,House,"Agriculture, U.S. House of Representatives",Committee on Agriculture,,0,NA,NA,NA,NA,NA,The current Asian crisis and the financial resources of the IMF,Alan Greenspan,Chairman,,http://www.federalreserve.gov/boarddocs/testimony/1998/19980521.htm,NA,
0,20-Nov-2008,,NA,House,"Agriculture, U.S. House of Representatives",Committee on Agriculture,,0,NA,NA,NA,NA,NA,Credit derivatives,Patrick M. Parkinson,Deputy Director,Division of Research and Statistics,http://www.federalreserve.gov/newsevents/testimony/parkinson20081120a.htm,NA,
0,12-Sep-1996,,NA,House,"Banking and Financial Services, U.S. House of Representatives",Committee on Banking and Financial Services,,0,NA,NA,NA,NA,NA,Trends in consumer lending,Lawrence B. Lindsey,Governor,,http://www.federalreserve.gov/boarddocs/testimony/1996/19960912.htm,NA,
0,18-Sep-1996,,NA,House,"Banking and Financial Services, U.S. House of Representatives",Committee on Banking and Financial Services,,0,NA,NA,NA,NA,NA,Implications of trading losses by Sumitomo Corp.,Susan M. Phillips,Governor,,http://www.federalreserve.gov/boarddocs/testimony/1996/19960918.htm,NA,
0,22-May-1997,,http://commdocs.house.gov/committees/bank/hba42909.000/hba42909_0f.htm,House,"Banking and Financial Services, U.S. House of Representatives",Committee on Banking and Financial Services,,0,29,NA,0,NA,NA,"H.R. 10, the Financial Services Competitiveness Act of 1997",Alan Greenspan,Chairman,,http://www.federalreserve.gov/boarddocs/testimony/1997/19970522.htm,NA,
