initialorder,Date,speechtitle,TestimonyHyperlink,name,position_cat1,position_cat2,committefull,CleanFullCommitteeName1,CleanFullCommitteeName2,SubCommittee,duplicatespeech,legislature,full_date,HearingNumber,TranscriptHyperlink,FedLetterCorrespondence,attendance,laughter,SecondTestimony,SpecialInterest,
5,29-Jun-2012,Mobile payments,http://www.federalreserve.gov/newsevents/testimony/martin20120628a.htm,Stephanie Martin,Associate General Counsel,,", Committee on Financial Services, Washington, D.C.",Committee on Financial Services,Subcommittee on Financial Institutions and Consumer Credit,1,,House,29/06/2012,"112-142
",http://www.gpo.gov/fdsys/pkg/CHRG-112hhrg76113/html/CHRG-112hhrg76113.htm,0,"Representatives Capito, Renacci, Pearce, 
Luetkemeyer, Huizenga, Canseco; Maloney, Baca, and Scott.
    Also present: Representative Green.",0,,,
270,21-Jun-2000,"S. 2697, the Commodity Futures Modernization Act of 2000",http://www.federalreserve.gov/boarddocs/testimony/2000/20000621.htm,Alan Greenspan,Chairman,,"Agriculture, Nutrition, and Forestry and the Committee on Banking, Housing, and Urban Affairs, U.S. Senate","Committee on Agriculture, Nutrition and Forestry and Committee on Banking, Housing, and Urban Affairs",,,,Senate,21/06/2000,S. Hrg. 106-922,http://www.gpo.gov/fdsys/pkg/CHRG-106shrg70514/html/CHRG-106shrg70514.htm,,"Present or submitting a statement: Senators Lugar, Gramm, 
Bennett, Fitzgerald, Santorum, Grams, Harkin, Sarbanes, Dodd, 
Kerrey, Conrad, Johnson, and Schumer.",,,,
34,15-Jun-2011,Implementation of Title VII of the Dodd-Frank Act,http://www.federalreserve.gov/newsevents/testimony/gibson20110615a.htm,Michael S. Gibson,Senior Associate Director,Division of Research and Statistics,"Agriculture, Nutrition, and Forestry, U.S. Senate","Committee on Agriculture, Nutrition and Forestry ",,,,Senate,15/06/2011,S. Hrg. 112-280,http://www.gpo.gov/fdsys/pkg/CHRG-112shrg71629/html/CHRG-112shrg71629.htm,,"Senators Stabenow, Klobuchar, Gillibrand, Roberts, 
Lugar, Chambliss, Johanns, Boozman, and Thune.",,,,
281,10-Feb-2000,Over-the-counter derivatives,http://www.federalreserve.gov/boarddocs/testimony/2000/20000210.htm,Alan Greenspan,Chairman,,"Agriculture, Nutrition, and Forestry, U.S. Senate","Committee on Agriculture, Nutrition and Forestry ",,,,Senate,10/02/2000,S. Hrg. 106-768,http://www.gpo.gov/fdsys/pkg/CHRG-106shrg67569/html/CHRG-106shrg67569.htm,," Present or submitting a statement: Senators Lugar, 
Fitzgerald, Grassley, Harkin, and Conrad.",,,,
312,16-Dec-1998,Progress report by the President's Working Group on Financial Markets,http://www.federalreserve.gov/boarddocs/testimony/1998/19981216.htm,Patrick M. Parkinson,Associate Director,Division of Research and Statistics,"Agriculture, Nutrition, and Forestry, U.S. Senate","Committee on Agriculture, Nutrition and Forestry ",,,,Senate,16/12/1998,,NA,,,,,,
320,30-Jul-1998,The Commodity Exchange Act and OTC derivatives,http://www.federalreserve.gov/boarddocs/testimony/1998/19980730.htm,Alan Greenspan,Chairman,,"Agriculture, Nutrition, and Forestry, U.S. Senate","Committee on Agriculture, Nutrition and Forestry ",,,,Senate,30/07/1998,,NA,,,,,,
108,20-Nov-2008,Credit derivatives,http://www.federalreserve.gov/newsevents/testimony/parkinson20081120a.htm,Patrick M. Parkinson,Deputy Director,Division of Research and Statistics,"Agriculture, U.S. House of Representatives",Committee on Agriculture,,,,House,20/11/2008,,,,,,,,
332,21-May-1998,The current Asian crisis and the financial resources of the IMF,http://www.federalreserve.gov/boarddocs/testimony/1998/19980521.htm,Alan Greenspan,Chairman,,"Agriculture, U.S. House of Representatives",Committee on Agriculture,,,,House,21/05/1998,,,,,,,,
268,19-Jul-2000,"H.R. 4541, the Commodity Futures Modernization Act of 2000",http://www.federalreserve.gov/boarddocs/testimony/2000/20000719.htm,Patrick M. Parkinson,Associate Director,Division of Research and Statistics,"Banking and Financial Services, U.S. House of Representatives",Committee on Banking and Financial Services,,,,House,19/07/2000,,,,,,,,
273,24-May-2000,Predatory lending practices,http://www.federalreserve.gov/boarddocs/testimony/2000/20000524.htm,Edward M. Gramlich,Governor,,"Banking and Financial Services, U.S. House of Representatives",Committee on Banking and Financial Services,,,,House,24/05/2000,,,,,,,,
275,3-May-2000,Payment of interest on reserves and Fed surplus,http://www.federalreserve.gov/boarddocs/testimony/2000/20000503.htm,Laurence H. Meyer,Governor,,"Banking and Financial Services, U.S. House of Representatives",Committee on Banking and Financial Services,,,,House,03/05/2000,,,,,,,,
280,17-Feb-2000,The Federal Reserve's semiannual report on the economy and monetary policy,http://www.federalreserve.gov/boarddocs/hh/2000/february/testimony.htm,Alan Greenspan,Chairman,,"Banking and Financial Services, U.S. House of Representatives",Committee on Banking and Financial Services,,,"Chairman Greenspan presented identical testimony before the Committee on Banking, Housing, and Urban Affairs, U.S. Senate, on February 23, 2000",House,17/02/2000,,,,,,,,
