"","MonthYear","MonthTestTotal"
"1",1996-06-01,1
"2",1996-07-01,4
"6",1996-09-01,2
"8",1997-01-01,2
"10",1997-02-01,2
"12",1997-03-01,4
"16",1997-04-01,1
"17",1997-05-01,1
"18",1997-07-01,7
"25",1997-09-01,2
"27",1997-10-01,6
"33",1997-11-01,3
"36",1998-01-01,3
"39",1998-02-01,2
"41",1998-03-01,4
"45",1998-04-01,4
"49",1998-05-01,1
"50",1998-06-01,7
"57",1998-07-01,5
"62",1998-09-01,4
"66",1998-10-01,3
"69",1998-12-01,1
"70",1999-01-01,2
"72",1999-02-01,6
"78",1999-03-01,6
"84",1999-04-01,4
"88",1999-05-01,4
"92",1999-06-01,3
"95",1999-07-01,2
"97",1999-11-01,1
"98",2000-01-01,1
"99",2000-02-01,3
"102",2000-03-01,2
"104",2000-04-01,2
"106",2000-05-01,3
"109",2000-06-01,3
"112",2000-07-01,3
"115",2000-09-01,2
"117",2001-01-01,1
"118",2001-02-01,2
"120",2001-03-01,2
"122",2001-04-01,2
"124",2001-05-01,2
"126",2001-06-01,2
"128",2001-07-01,3
"131",2001-08-01,1
"132",2001-09-01,1
"133",2001-10-01,1
"134",2001-11-01,1
"135",2002-01-01,2
"137",2002-02-01,2
"139",2002-03-01,2
"141",2002-04-01,3
"144",2002-05-01,2
"146",2002-07-01,1
"147",2002-09-01,2
"149",2002-11-01,1
"150",2002-12-01,1
"151",2003-02-01,4
"155",2003-03-01,2
"157",2003-04-01,3
"160",2003-05-01,1
"161",2003-06-01,4
"165",2003-07-01,3
"168",2003-10-01,3
"171",2003-11-01,1
"172",2004-02-01,3
"175",2004-03-01,1
"176",2004-04-01,3
"179",2004-05-01,2
"181",2004-06-01,4
"185",2004-07-01,1
"186",2004-09-01,2
"188",2004-11-01,1
"189",2005-02-01,1
"190",2005-03-01,3
"193",2005-04-01,3
"196",2005-05-01,2
"198",2005-06-01,4
"202",2005-07-01,1
"203",2005-09-01,2
"205",2005-11-01,3
"208",2006-02-01,1
"209",2006-03-01,1
"210",2006-04-01,1
"211",2006-05-01,2
"213",2006-06-01,2
"215",2006-07-01,3
"218",2006-09-01,3
"221",2007-01-01,1
"222",2007-02-01,3
"225",2007-03-01,3
"228",2007-04-01,1
"229",2007-05-01,1
"230",2007-06-01,3
"233",2007-07-01,3
"236",2007-08-01,1
"237",2007-09-01,1
"238",2007-10-01,4
"242",2007-11-01,2
"244",2007-12-01,2
"246",2008-01-01,1
"247",2008-02-01,4
"251",2008-03-01,2
"253",2008-04-01,8
"261",2008-06-01,2
"263",2008-07-01,4
"267",2008-09-01,2
"269",2008-10-01,2
"271",2008-11-01,3
"274",2009-01-01,1
"275",2009-02-01,2
"277",2009-03-01,9
"286",2009-04-01,1
"287",2009-05-01,2
"289",2009-06-01,4
"293",2009-07-01,6
"299",2009-08-01,1
"300",2009-09-01,2
"302",2009-10-01,3
"305",2009-11-01,2
"307",2009-12-01,1
"308",2010-01-01,1
"309",2010-02-01,5
"314",2010-03-01,4
"318",2010-04-01,2
"320",2010-05-01,2
"322",2010-06-01,1
"323",2010-07-01,3
"326",2010-09-01,4
"330",2010-11-01,1
"331",2010-12-01,1
"332",2011-01-01,1
"333",2011-02-01,5
"338",2011-03-01,2
"340",2011-04-01,5
"345",2011-05-01,1
"346",2011-06-01,4
"350",2011-07-01,5
"355",2011-08-01,1
"356",2011-10-01,1
"357",2011-12-01,3
"360",2012-01-01,1
"361",2012-02-01,5
"366",2012-03-01,5
"371",2012-05-01,2
"373",2012-06-01,4
"377",2012-07-01,1
"378",2012-08-01,1
"379",2012-11-01,1
