docId,filename,top1,top1.prop,top2,top2.prop,top3,top3.prop,top4,top4.prop,top5,top5.prop
0,C:\Users\Kevin\Desktop\fed.text.parsed\.txt,4,0.551061034,2,0.288461536,0,0.071618035,1,0.054376658,,
1,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1.txt,4,0.559681714,2,0.295092851,0,0.08023873,,,,
2,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.10.txt,0,0.644617379,1,0.136186764,3,0.095979251,4,0.088197149,,
3,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.100.txt,0,0.451167732,1,0.162420377,3,0.160297245,2,0.145435244,4,0.080679409
4,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1000.txt,4,0.490800858,2,0.410173148,,,,,,
5,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1001.txt,0,0.376197666,2,0.221381739,4,0.190620273,3,0.183055982,,
6,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1002.txt,1,0.739370525,2,0.087244615,3,0.078961901,4,0.062948644,,
7,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1003.txt,0,0.33204633,1,0.297297299,3,0.166023165,2,0.119691119,4,0.084942088
8,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1004.txt,0,0.389041096,1,0.318356156,3,0.171506852,4,0.065205477,2,0.055890411
9,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1005.txt,1,0.649027228,0,0.149416342,2,0.087937742,4,0.078599222,,
10,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1006.txt,2,0.57869637,3,0.171171173,0,0.0990991,4,0.09644939,1,0.054583997
11,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1007.txt,4,0.46442309,2,0.375961542,3,0.077403843,0,0.060096152,,
12,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1008.txt,0,0.561689854,3,0.306769073,2,0.079692751,,,,
13,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1009.txt,1,0.588571429,2,0.125714287,3,0.115714289,0,0.096190475,4,0.073809527
14,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.101.txt,3,0.621073306,0,0.259162307,2,0.053664923,,,,
15,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1010.txt,0,0.455621302,3,0.21104537,2,0.165680468,1,0.093688361,4,0.073964499
16,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1011.txt,1,0.59773016,0,0.140605301,2,0.125472888,3,0.075031526,4,0.061160151
17,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1012.txt,0,0.347718865,2,0.282367438,3,0.222564742,1,0.088779286,4,0.058569666
18,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1013.txt,1,0.551145911,2,0.226383448,3,0.09278927,4,0.069312468,0,0.060368922
19,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1014.txt,0,0.434090912,2,0.249242425,3,0.219696969,1,0.07121212,,
20,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1015.txt,2,0.33449477,4,0.22996515,3,0.216027871,1,0.167247385,0,0.05226481
21,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1016.txt,4,0.417023569,2,0.332441121,3,0.114561029,0,0.078158461,1,0.057815846
22,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1017.txt,3,0.401245058,2,0.220713079,1,0.217883423,0,0.139784947,,
23,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1018.txt,0,0.550448,3,0.192052975,1,0.113361903,2,0.076353721,4,0.067783408
24,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1019.txt,1,0.511302471,2,0.24650161,4,0.143702909,0,0.050592035,,
25,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.102.txt,4,0.377516776,0,0.369966447,2,0.131711408,1,0.09144295,,
26,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1020.txt,3,0.464212686,2,0.373721868,4,0.121165641,,,,
27,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1021.txt,0,0.36297071,3,0.28940028,1,0.173640162,2,0.16248256,,
28,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1022.txt,3,0.398540139,0,0.287591249,2,0.236982971,1,0.060827252,,
29,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1023.txt,1,0.623118997,0,0.152530774,2,0.116279073,3,0.069083445,,
30,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1024.txt,4,0.667385459,2,0.272237211,,,,,,
31,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1025.txt,1,0.808743179,4,0.058287796,,,,,,
32,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1026.txt,4,0.654986501,2,0.2619946,,,,,,
33,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1027.txt,1,0.790528238,4,0.072859742,,,,,,
34,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1028.txt,4,0.657045007,2,0.274951071,,,,,,
35,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1029.txt,1,0.441176474,0,0.168627456,3,0.158823535,2,0.158823535,4,0.072549023
36,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.103.txt,4,0.623287678,2,0.202054799,0,0.088356167,1,0.055479452,,
37,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1030.txt,2,0.484165311,4,0.320450872,3,0.12560387,,,,
38,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1031.txt,0,0.604874909,3,0.159717768,2,0.137267485,1,0.078255288,,
39,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1032.txt,0,0.3125,1,0.307369411,2,0.231809705,3,0.119402982,,
40,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1033.txt,4,0.385041565,2,0.228531852,1,0.223915055,3,0.098799631,0,0.063711911
41,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1034.txt,1,0.486768246,4,0.269446671,2,0.103448279,0,0.076984763,3,0.063352048
42,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1035.txt,4,0.518840551,1,0.298550725,2,0.121256039,,,,
43,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.1036.txt,3,0.383804768,1,0.332224071,2,0.161952302,4,0.097060457,,
44,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.104.txt,0,0.504219413,1,0.237341776,3,0.185654014,,,,
45,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.105.txt,0,0.668328047,2,0.123697326,3,0.102854557,1,0.063887633,,
46,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.106.txt,0,0.424903721,2,0.26700899,4,0.15661104,1,0.088575095,3,0.062901154
47,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.107.txt,0,0.626675606,3,0.22050938,2,0.070375338,1,0.054289546,,
48,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.108.txt,4,0.692113221,2,0.210819006,,,,,,
49,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.109.txt,1,0.49136579,4,0.174254313,0,0.167974889,3,0.103610672,2,0.06279435
50,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.11.txt,4,0.821621597,2,0.069369368,1,0.050450452,,,,
51,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.110.txt,1,0.5,4,0.230769232,0,0.138932496,2,0.088697016,,
52,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.111.txt,3,0.567694962,0,0.317909181,2,0.083976008,,,,
53,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.112.txt,1,0.489345521,0,0.213850841,2,0.122526638,4,0.097412482,3,0.076864533
54,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.113.txt,4,0.414587319,1,0.19769673,2,0.190978885,0,0.146833017,,
55,C:\Users\Kevin\Desktop\fed.text.parsed\parsed.114.txt,4,0.391805381,2,0.230473757,3,0.153649166,0,0.113956466,1,0.110115238
