full_date,name,SpeechID,Financial.Markets,Macroeconomics,Monetary.Policy,International.Economy,Local.Housing.Dev,Banking.Regulation,,top,max,countzeros,randrange,intruder,206,SpeechID,full_date,name,,,,,
13-Jun-96,Alan Greenspan,1,0.274535805,0,0,0,0,0.503315628,,,0.503315628,4,2,,,1,13-Jun-96,Alan Greenspan,,,,,
18-Jun-96,Edward W. Kelley,2,0.164825827,0,0,0.114698388,0.319456249,0.295666963,,,0.319456249,2,2,,,2,18-Jun-96,Edward W. Kelley,,,,,
8-Sep-96,Laurence H. Meyer,3,0,0.304523438,0.592083991,0,0,0,,,0.592083991,4,1,,,3,8-Sep-96,Laurence H. Meyer,,,,,
19-Sep-96,Alan Greenspan,4,0.320484579,0,0,0.27202642,0.188325986,0,,,0.320484579,3,3,,,4,19-Sep-96,Alan Greenspan,,,,,
2-Oct-96,Lawrence B. Lindsey,5,0,0.132056445,0,0.230846778,0.45161289,0.09375,,,0.45161289,2,2,,,5,2-Oct-96,Lawrence B. Lindsey,,,,,
5-Oct-96,Alan Greenspan,6,0,0,0,0.140155733,0,0.657397091,,,0.657397091,4,2,,,6,5-Oct-96,Alan Greenspan,,,,,
7-Oct-96,Alan Greenspan,7,0.251612902,0.079569891,0.221505374,0.307526886,0.081720427,0,,,0.307526886,1,1,,,7,7-Oct-96,Alan Greenspan,,,,,
9-Oct-96,Lawrence B. Lindsey,8,0.082500003,0.172499999,0.089374997,0.182500005,0.410625011,0,,,0.410625011,1,1,,,8,9-Oct-96,Lawrence B. Lindsey,,,,,
11-Oct-96,Lawrence B. Lindsey,9,0,0.288888901,0.102222219,0.4148148,0.070617281,0.062222224,,,0.4148148,1,1,,,9,11-Oct-96,Lawrence B. Lindsey,,,,,
16-Oct-96,Alan Greenspan,10,0,0.145265892,0.089494161,0.640726328,0,0,,,0.640726328,3,2,,,10,16-Oct-96,Alan Greenspan,,,,,
24-Oct-96,Susan M. Phillips,11,0,0,0,0,0,0.792792797,,,0.792792797,5,5,,,11,24-Oct-96,Susan M. Phillips,,,,,
31-Oct-96,Edward W. Kelley,12,0.377077878,0,0,0.133858263,0,0.296587914,,,0.377077878,3,3,,,12,31-Oct-96,Edward W. Kelley,,,,,
18-Nov-96,Alan Greenspan,13,0.221979618,0,0,0,0,0.565502167,,,0.565502167,4,1,,,13,18-Nov-96,Alan Greenspan,,,,,
21-Nov-96,Laurence H. Meyer,14,0.184222952,0.057156354,0,0,0.061407652,0.629192233,,,0.629192233,2,1,,,14,21-Nov-96,Laurence H. Meyer,,,,,
25-Nov-96,Susan M. Phillips,15,0,0,0,0,0,0.833510101,,,0.833510101,5,5,,,15,25-Nov-96,Susan M. Phillips,,,,,
3-Dec-96,Edward W. Kelley,16,0.32266435,0,0,0,0.181660905,0.39100346,,,0.39100346,3,2,,,16,3-Dec-96,Edward W. Kelley,,,,,
5-Dec-96,Alan Greenspan,17,0.129999995,0,0.267647058,0.344117641,0.078235291,0.109411761,,,0.344117641,1,1,,,17,5-Dec-96,Alan Greenspan,,,,,
6-Dec-96,Alan Greenspan,18,0.094385676,0.394629776,0,0.384052068,0,0,,,0.394629776,3,2,,,18,6-Dec-96,Alan Greenspan,,,,,
19-Dec-96,Alice M. Rivlin,19,0.138401553,0,0,0,0,0.642625093,,,0.642625093,4,2,,,19,19-Dec-96,Alice M. Rivlin,,,,,
5-Jan-97,Laurence H. Meyer,20,0,0,0.789269567,0,0,0.07692308,,,0.789269567,4,2,,,20,5-Jan-97,Laurence H. Meyer,,,,,
14-Jan-97,Alan Greenspan,21,0.378146768,0,0.108194962,0.179967865,0,0.235136583,,,0.378146768,2,2,,,21,14-Jan-97,Alan Greenspan,,,,,
16-Jan-97,Laurence H. Meyer,22,0,0.474683553,0.415611804,0,0,0,,,0.474683553,4,3,,,22,16-Jan-97,Laurence H. Meyer,,,,,
24-Jan-97,Laurence H. Meyer,23,0.162838176,0,0,0,0.064828992,0.68453294,,,0.68453294,3,2,,,23,24-Jan-97,Laurence H. Meyer,,,,,
28-Jan-97,Susan M. Phillips,24,0.126258001,0,0,0.12259835,0,0.662397087,,,0.662397087,3,3,,,24,28-Jan-97,Susan M. Phillips,,,,,
29-Jan-97,Edward W. Kelley,25,0.316367269,0,0.138722554,0.132734537,0,0.269461066,,,0.316367269,2,2,,,25,29-Jan-97,Edward W. Kelley,,,,,
14-Feb-97,Susan M. Phillips,26,0.206724778,0,0,0,0.062266499,0.615193009,,,0.615193009,3,2,,,26,14-Feb-97,Susan M. Phillips,,,,,
21-Feb-97,Alan Greenspan,27,0.504849434,0,0,0.105666153,0,0.247064829,,,0.504849434,3,2,,,27,21-Feb-97,Alan Greenspan,,,,,
3-Mar-97,Susan M. Phillips,28,0.09375,0,0,0,0,0.766826928,,,0.766826928,4,4,,,28,3-Mar-97,Susan M. Phillips,,,,,
7-Mar-97,Alan Greenspan,29,0,0,0,0.605817437,0.119358078,0.106318958,,,0.605817437,3,2,,,29,7-Mar-97,Alan Greenspan,,,,,
13-Mar-97,Alice M. Rivlin,30,0,0.060995184,0,0.154895663,0.466292143,0.230337083,,,0.466292143,2,2,,,30,13-Mar-97,Alice M. Rivlin,,,,,
22-Mar-97,Alan Greenspan,31,0.183791608,0,0,0.107814759,0,0.558610737,,,0.558610737,3,3,,,31,22-Mar-97,Alan Greenspan,,,,,
4-Apr-97,Alice M. Rivlin,32,0,0.162694305,0.276683927,0.358549237,0.076683939,0.065284975,,,0.358549237,1,1,,,32,4-Apr-97,Alice M. Rivlin,,,,,
10-Apr-97,Laurence H. Meyer,33,0,0,0,0.172859445,0,0.604738832,,,0.604738832,4,3,,,33,10-Apr-97,Laurence H. Meyer,,,,,
12-Apr-97,Alan Greenspan,34,0.424010217,0,0,0.254789263,0,0,,,0.424010217,4,3,,,34,12-Apr-97,Alan Greenspan,,,,,
24-Apr-97,Laurence H. Meyer,35,0,0,0.52333802,0,0,0,,,0.52333802,5,2,,,35,24-Apr-97,Laurence H. Meyer,,,,,
29-Apr-97,Alan Greenspan,36,0.41673857,0,0,0,0,0.327006042,,,0.41673857,4,2,,,36,29-Apr-97,Alan Greenspan,,,,,
1-May-97,Alan Greenspan,37,0.197692707,0,0,0.192973256,0,0.488725752,,,0.488725752,3,3,,,37,1-May-97,Alan Greenspan,,,,,
3-May-97,Alan Greenspan,38,0.160574406,0,0,0.132506534,0,0.5828982,,,0.5828982,3,1,,,38,3-May-97,Alan Greenspan,,,,,
8-May-97,Alan Greenspan,39,0.09039548,0.398305088,0.154425606,0.26647833,0,0,,,0.398305088,2,1,,,39,8-May-97,Alan Greenspan,,,,,
23-May-97,Laurence H. Meyer,40,0.10168539,0,0,0,0.463483155,0.273595512,,,0.463483155,3,2,,,40,23-May-97,Laurence H. Meyer,,,,,
10-Jun-97,Alan Greenspan,41,0.141638219,0,0,0.668941975,0,0.058020476,,,0.668941975,3,2,,,41,10-Jun-97,Alan Greenspan,,,,,
18-Jun-97,Laurence H. Meyer,42,0,0,0.074113853,0.125671327,0.600429654,0.094522022,,,0.600429654,2,1,,,42,18-Jun-97,Laurence H. Meyer,,,,,
18-Jun-97,Susan M. Phillips,43,0.122162886,0,0,0.116154872,0,0.661548734,,,0.661548734,3,2,,,43,18-Jun-97,Susan M. Phillips,,,,,
4-Sep-97,Laurence H. Meyer,44,0,0,0.098437503,0,0.684374988,0.078906253,,,0.684374988,3,1,,,44,4-Sep-97,Laurence H. Meyer,,,,,
5-Sep-97,Alan Greenspan,45,0,0.257549852,0.418233633,0.157264963,0,0,,,0.418233633,3,1,,,45,5-Sep-97,Alan Greenspan,,,,,
12-Sep-97,Alan Greenspan,46,0,0.145675272,0,0.693474948,0,0,,,0.693474948,4,1,,,46,12-Sep-97,Alan Greenspan,,,,,
12-Sep-97,Laurence H. Meyer,47,0.253174007,0.120985813,0.430171758,0.103061989,0,0,,,0.430171758,2,1,,,47,12-Sep-97,Laurence H. Meyer,,,,,
17-Sep-97,Laurence H. Meyer,48,0,0.589495182,0.28862825,0,0,0,,,0.589495182,4,2,,,48,17-Sep-97,Laurence H. Meyer,,,,,
19-Sep-97,Susan M. Phillips,49,0.145454541,0,0,0,0,0.680909097,,,0.680909097,4,4,,,49,19-Sep-97,Susan M. Phillips,,,,,
23-Sep-97,Edward W. Kelley,50,0,0,0,0.13627255,0.428857714,0.242484972,,,0.428857714,3,3,,,50,23-Sep-97,Edward W. Kelley,,,,,
5-Oct-97,Alan Greenspan,51,0.101357467,0.101357467,0,0.36470589,0,0.302262455,,,0.36470589,2,1,,,51,5-Oct-97,Alan Greenspan,,,,,
11-Oct-97,Alan Greenspan,52,0.113881402,0.071428575,0,0.1448787,0.603099704,0,,,0.603099704,2,1,,,52,11-Oct-97,Alan Greenspan,,,,,
14-Oct-97,Alan Greenspan,53,0.289676428,0,0,0.381355941,0,0.137134045,,,0.381355941,3,2,,,53,14-Oct-97,Alan Greenspan,,,,,
14-Oct-97,Alan Greenspan,54,0,0.127222985,0,0.733926117,0,0,,,0.733926117,4,1,,,54,14-Oct-97,Alan Greenspan,,,,,
14-Oct-97,Laurence H. Meyer,55,0,0.384315431,0.287694961,0.163778156,0,0,,,0.384315431,3,3,,,55,14-Oct-97,Laurence H. Meyer,,,,,
15-Oct-97,Susan M. Phillips,56,0.486891389,0,0.092384517,0,0,0.278402001,,,0.486891389,3,3,,,56,15-Oct-97,Susan M. Phillips,,,,,
30-Oct-97,Susan M. Phillips,57,0.110457517,0,0,0.093464054,0,0.679084957,,,0.679084957,3,1,,,57,30-Oct-97,Susan M. Phillips,,,,,
31-Oct-97,Laurence H. Meyer,58,0.075393535,0,0,0.140016571,0.610604823,0.089478046,,,0.610604823,2,2,,,58,31-Oct-97,Laurence H. Meyer,,,,,
4-Nov-97,Susan M. Phillips,59,0.116932906,0,0,0,0,0.751437724,,,0.751437724,4,2,,,59,4-Nov-97,Susan M. Phillips,,,,,
