month_year,full_date,name,SpeechID,position_cat,Organisation,HFSC_ChairConnect,HFSC_RankMembConnect,SpeakerConnect,HFSC_CombConnect,FedBoardCentrality,FedSpoketoFed,bankersfinance,other_private,otherregulators,io,community_organisations,thinktank,press_association,prof_econ_assoc,university,hearing,trade_assoc,non_finance_gov,nonbuinessadvocacy,social_events,economic_literacy,other,org,Scrutiny,,,,,,,,,,Financial.Markets,Macroeconomics,Monetary.Policy,International.Economy,Local.Housing.Dev,Banking.Regulation,CPIAUCNS,PCEPI,INTDSRUSM193N,DFF,FEDFUNDS,GDPDEF,GDPC96,U6RATE,SPCS10RSA,CPIAUCNSPercent,PCEPIPercent,GDPC96Percent,CaseShillerChange,UnemploymentRateChange,pres_party,house_dem_rep,senate_dem_rep
1/1/1997,1/5/1997,Laurence H. Meyer,20,1,American Economic Association (AEA),0,0,0,0,0.177898998,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,Low,,,,,,,,,,0,0,0.789269567,0,0,0.07692308,159.1,78.88,5,6.26,5.25,77.731,10809.133,9.4,78.57,2.954116908,2.203346856,4.363883764,2.010945654,-4.255319149,0,0.915929198,0.818181813
1/1/1997,1/14/1997,Alan Greenspan,21,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,Low,,,,,,,,,,0.378146768,0,0.108194962,0.179967865,0,0.235136583,159.1,78.88,5,6.26,5.25,77.731,10809.133,9.4,78.57,2.954116908,2.203346856,4.363883764,2.010945654,-4.255319149,0,0.915929198,0.818181813
1/1/1997,1/16/1997,Laurence H. Meyer,22,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,Low,,,,,,,,,,0,0.474683553,0.415611804,0,0,0,159.1,78.88,5,6.26,5.25,77.731,10809.133,9.4,78.57,2.954116908,2.203346856,4.363883764,2.010945654,-4.255319149,0,0.915929198,0.818181813
1/1/1997,1/24/1997,Laurence H. Meyer,23,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,Low,,,,,,,,,,0.162838176,0,0,0,0.064828992,0.68453294,159.1,78.88,5,6.26,5.25,77.731,10809.133,9.4,78.57,2.954116908,2.203346856,4.363883764,2.010945654,-4.255319149,0,0.915929198,0.818181813
1/1/1997,1/28/1997,Susan M. Phillips,24,1,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Low,,,,,,,,,,0.126258001,0,0,0.12259835,0,0.662397087,159.1,78.88,5,6.26,5.25,77.731,10809.133,9.4,78.57,2.954116908,2.203346856,4.363883764,2.010945654,-4.255319149,0,0.915929198,0.818181813
1/1/1997,1/29/1997,Edward W. Kelley,25,1,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Low,,,,,,,,,,0.316367269,0,0.138722554,0.132734537,0,0.269461066,159.1,78.88,5,6.26,5.25,77.731,10809.133,9.4,78.57,2.954116908,2.203346856,4.363883764,2.010945654,-4.255319149,0,0.915929198,0.818181813
2/1/1997,2/14/1997,Susan M. Phillips,26,1,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Low,,,,,,,,,,0.206724778,0,0,0,0.062266499,0.615193009,159.6,79.044,5,5.37,5.19,77.731,10809.133,9.4,78.72,2.944862155,2.255705683,4.363883764,2.032520325,-6.382978723,0,0.915929198,0.818181813
2/1/1997,2/21/1997,Alan Greenspan,27,3,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Low,,,,,,,,,,0.504849434,0,0,0.105666153,0,0.247064829,159.6,79.044,5,5.37,5.19,77.731,10809.133,9.4,78.72,2.944862155,2.255705683,4.363883764,2.032520325,-6.382978723,0,0.915929198,0.818181813
3/1/1997,3/3/1997,Susan M. Phillips,28,1,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Low,,,,,,,,,,0.09375,0,0,0,0,0.766826928,160,79.125,5,5.5,5.39,77.731,10809.133,9.1,78.99,2.6875,2.065086888,4.363883764,2.304089125,-7.692307692,0,0.915929198,0.818181813
3/1/1997,3/7/1997,Alan Greenspan,29,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,Low,,,,,,,,,,0,0,0,0.605817437,0.119358078,0.106318958,160,79.125,5,5.5,5.39,77.731,10809.133,9.1,78.99,2.6875,2.065086888,4.363883764,2.304089125,-7.692307692,0,0.915929198,0.818181813
